,unitid,log_yield_per_dollar,Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
1052,228246,-2.650964977129844,550515333.3333334,0.052009147792432056,0.2733441878094827,0.01386670428798229,0.10893399275587842,0.34733395255112476,0.05256499062090913,0.022193447836148676,0.13438771914315434,0.08840625692532936,0.19535150701221762,0.14258640086319121,0.012129544075672127
1053,228325,2.0552977305490896,30972770.833333332,0.033124923571981574,0.23511220675687583,0.0,0.18910075987443273,0.32079198597154895,0.0,0.0,0.0976900220825685,0.08100806824273742,0.39349643268650625,0.07740548452168673,0.0
1054,228343,-0.7996035040755496,51746064.666666664,0.055930365951049395,0.566323320535409,0.0,0.2134057260418786,0.3523721423865573,0.0056185013335055935,0.006848971716329037,0.0857480923798946,0.2061456312742211,0.18472546131269732,0.15658702522653672,0.0019541743702583916
1055,228468,1.1649563993625236,18282029.666666668,0.11486281182237078,0.07012675051451708,0.0,0.13980009586462946,0.3707748058389359,0.0,0.020623986516157967,0.04862666688959352,0.13869626145995567,0.24905822364106944,0.13352276586212006,0.0
1056,228875,-2.5689249662405067,485132833.3333333,0.031133400577230224,0.29165723923722614,0.0009049068004398796,0.18870538447030144,0.3696228215158941,0.0189868960288196,0.0,0.0876591531460284,0.1390423162453445,0.08759353537879831,0.2701112592186951,0.0
1057,228981,0.5327678992605056,37185697.5,0.07958713606667366,0.4295405466936134,0.03201398422964456,0.19947281702416186,0.3228065844401601,0.0018493938428881158,0.016686343810905613,0.06740903542282621,0.18664423331040114,0.2597152395308259,0.14488916964199294,0.0
1058,229160,0.28330816289392563,56620671.5,0.03088358521734122,0.23969730736944722,0.0,0.0962278532261255,0.42193909398148577,0.000873988810488292,0.015025958025477204,0.07008370608956836,0.1846172706258585,0.23970073956705606,0.06274650946165483,0.0027344400769484575
1059,229267,-1.98131629095762,132369596.0,0.08546461958429385,0.30894208641889837,0.0031626320996955624,0.18004912548044644,0.3469428105428883,0.021952729990956533,0.030866342852125448,0.10853857381771163,0.17171105263981215,0.19153999180698061,0.12783445250775965,0.0
1060,229780,0.9543051809105533,59794432.0,0.022036486050518327,0.10118342624276454,0.0,0.09987527489739066,0.5817374294427057,0.0,0.007321944290732622,0.036831464508267256,0.14809047214741777,0.13106505747335584,0.09495363213752077,0.0
1061,230038,-1.7966965313367689,1089450978.6666667,0.08532851835803083,0.004695247973672326,0.006263302770799658,0.1852407952431732,0.46874334091194364,0.0443948041540395,0.061302753687675786,0.06187368958001664,0.05068397377632536,0.09730816124443177,0.215693276492585,0.0
